,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,1,116372,0,20,116353,0,1228,1,0,0,0,0,0,0,315,221,38,1460,20281,0,0,0,13647,0,707,0,142,4,213,111,0,10996,608,0,8,0,9,0,0,145,0,6,49,4,2,1,2,0,2,0,0,48,2,68,57,50259,34979,31135,186,14,1,0,0,2,49,0,325,265,1398,1968,20510,0,0,0,14160,1,651,1,198,47,202,473,0,10551,7342,0,12,0,9,0,0,105,0,5,49,3,2,1,3,0,4,0,0,35,140,87,334,58958,28976,28439,70534,44598,1174,0,67,0,103894,48212,9475,57233,41720,101826,133,14414,67265,41522,5875,1536,175,58403,27324,24293,5183,1170,4
1,4,74838,0,18,74824,0,1099,0,0,0,0,0,0,0,362,118,68,753,7011,0,0,0,10382,0,354,0,142,2,217,123,0,7681,425,0,4,0,15,0,0,60,0,10,10,0,0,1,0,0,56,0,11,37,0,137,56,28897,26709,19236,354,12,1,0,0,0,3,0,345,146,1876,804,7114,0,2,1,10498,0,342,0,203,15,242,375,0,7764,7197,0,4,0,7,0,0,52,1,5,10,0,1,1,0,0,1084,0,13,31,0,245,59,37779,21414,15649,57202,16509,1023,0,108,0,62374,35473,8280,43886,28928,61665,150,13027,40461,29609,3681,1004,87,34691,19719,16724,2841,867,1
2,4,61237,0,40,61201,0,1193,2,1,0,0,0,0,1,359,201,58,449,6248,0,0,0,6921,0,349,0,122,2,155,230,0,5488,583,0,5,2,9,0,0,25,0,0,8,3,0,1,0,0,29,1,0,25,0,541,56,22504,23975,14762,396,16,0,0,0,1,0,1,356,326,1486,571,6464,0,0,0,7423,0,341,0,221,18,157,406,0,5658,7312,0,7,2,10,0,0,26,0,0,6,1,0,0,0,0,13,1,0,25,0,560,125,31666,17793,11782,43762,16262,1114,0,103,0,50295,26709,6286,35038,22374,50558,156,10527,34874,23846,1915,516,90,29700,16615,13310,1311,305,1
3,0,67770,0,26,67744,0,932,0,0,0,0,0,0,0,330,163,24,693,6801,0,0,0,9432,0,347,0,135,140,134,133,0,6469,557,0,4,0,9,0,0,67,0,12,4,2,0,0,0,0,37,0,1,33,0,42,83,26453,24127,17190,337,12,0,0,0,0,2,0,350,201,511,743,7047,0,0,0,9367,0,354,0,270,156,151,335,2,6555,7259,0,7,0,10,0,0,61,2,5,33,1,0,0,0,0,19,1,1,33,0,37,102,34108,17639,16023,48284,18520,857,0,109,0,58196,31379,6866,37078,26565,55580,118,12072,37609,27139,2241,649,132,30176,20616,14611,1896,471,1
4,4,96666,0,25,96645,0,1076,0,0,0,0,0,0,1,326,746,41,1601,11665,0,0,0,12479,0,432,0,132,1,181,135,2,9496,400,0,11,0,6,0,0,81,1,5,2,0,0,0,0,1,41,0,0,57,0,186,61,38883,33782,24005,295,14,1,0,0,1,2,1,339,859,1288,1659,11864,0,0,0,12893,0,406,0,183,16,164,320,2,9175,7117,0,11,0,6,1,1,79,2,5,3,0,1,0,0,0,51,0,0,40,0,194,108,47310,27403,21957,65501,30065,1005,0,99,0,85727,45390,9259,53834,39120,77100,240,19330,50946,38987,5307,1302,128,38848,30180,22240,4344,1058,2
5,3,66934,0,29,66908,0,843,2,0,0,0,0,0,0,291,91,29,1112,8583,0,0,0,7891,0,386,0,127,2,175,138,0,6620,376,0,9,0,5,0,0,53,0,0,3,0,0,0,0,1,16,0,2,40,0,164,68,26804,23982,16151,289,12,0,0,1,0,34,0,300,175,708,1242,8769,0,0,5,7844,1,431,0,177,17,171,363,1,6708,7134,0,11,0,5,0,0,56,1,0,2,0,0,0,0,1,10,1,0,38,0,167,95,34878,18117,13942,46588,19476,739,0,134,1,56550,29770,7469,35348,23725,56216,113,10608,38841,26209,1456,358,73,33804,17628,13585,1635,285,1
6,8,145297,0,14,145291,0,1008,1,0,0,0,0,0,0,348,179,113,27499,8322,0,0,0,13040,0,474,0,113,2,237,252,0,11292,563,0,4,0,9,0,0,67,1,10,8,0,0,2,0,0,35,0,0,44,0,120,24,63636,45802,35867,342,21,0,0,0,0,0,0,358,276,3632,27446,8560,0,0,0,13423,1,443,0,181,17,226,405,0,10920,6896,0,5,0,9,1,0,62,2,7,8,0,0,1,0,0,52,0,3,36,1,126,71,73764,38796,32745,123919,20362,940,0,84,1,131979,99715,34547,108610,66931,127247,142,17916,45722,91590,6270,1520,203,38557,75964,24519,4996,1268,2
7,1,82489,0,25,82465,0,1043,0,0,0,0,0,0,0,340,111,47,1607,9339,0,0,0,11116,0,381,0,165,4,171,131,0,8586,443,0,9,0,9,0,0,88,1,0,0,0,0,0,0,2,42,2,2,41,0,277,72,33689,29262,19539,363,14,1,0,0,0,1,0,348,241,1758,1700,9397,1,0,0,12115,3,369,0,236,13,162,363,0,8570,7171,0,13,0,9,0,0,82,4,0,1,0,0,0,0,1,52,0,4,36,0,276,115,43363,22344,16783,60460,20959,967,0,104,0,70578,36786,8623,45501,32371,66738,191,15561,46800,31171,3630,788,101,39190,22862,16912,2899,627,2
8,0,95855,0,17,95838,0,804,0,0,0,0,0,0,12,322,86,44,1013,11100,0,0,0,14238,0,685,0,149,9,247,137,0,10266,582,0,10,0,13,0,0,125,2,12,2,1,1,0,0,1,27,0,0,47,0,20,74,39932,29522,26401,284,18,0,0,0,52,2,20,329,128,1586,1066,11453,0,0,0,14193,2,645,0,205,37,251,328,0,10313,7356,0,13,0,16,0,0,125,1,5,2,1,1,0,0,1,47,0,0,41,0,33,84,48877,23174,23804,69833,25203,730,0,89,0,84255,48067,8487,54751,40961,81045,146,14664,49463,38740,5935,1573,144,41371,25510,22240,5481,1253,1
9,0,72981,0,15,72966,0,1061,3,0,0,0,0,0,0,330,191,43,403,5731,0,0,0,9604,0,354,0,180,1,148,151,0,7746,572,0,4,0,15,0,0,69,1,1,5,0,0,0,0,1,6,0,0,49,0,506,101,26739,26018,20224,327,26,0,0,0,39,1,0,361,324,1425,537,5907,0,0,0,12076,0,338,0,247,12,149,420,0,7820,7276,0,6,0,15,0,0,67,1,0,5,0,0,0,0,0,3,1,1,45,0,512,160,37919,20170,14892,55820,16054,970,0,137,0,58393,32573,7685,43246,26717,61154,226,11601,41342,27709,2911,901,118,35259,19046,15861,2177,638,1
10,3,80331,0,28,80306,0,1127,3,0,0,0,0,0,1,394,141,47,1191,7468,0,0,0,11626,0,281,0,149,9,190,116,0,9275,373,0,4,0,33,0,0,105,0,10,5,1,0,0,0,0,20,0,0,52,0,155,93,32621,27540,20173,274,17,0,0,0,0,13,1,368,319,1438,1230,7614,0,0,1,11624,0,282,0,225,23,174,351,25,9179,7161,0,4,0,35,0,0,113,1,5,6,0,1,0,0,0,12,0,0,42,1,168,112,40904,21899,17531,61243,17933,1046,0,112,0,69098,38858,8486,45541,32289,66282,158,13894,43478,31860,3862,1034,100,36472,21710,18062,3334,756,2
11,0,77746,0,23,77723,0,826,1,0,0,0,0,0,3,362,959,46,399,8059,0,0,0,9478,0,367,0,114,9,196,131,0,8592,597,0,30,0,9,0,0,71,0,2,6,2,1,0,0,1,23,1,0,42,1,88,60,30333,28094,19319,201,12,0,0,1,0,1,2,371,1602,1337,437,8311,0,1,0,10191,0,361,1,157,15,227,285,0,8774,7354,0,32,0,9,0,0,94,1,1,6,1,2,0,0,1,20,1,0,37,0,96,106,41695,20144,15907,58056,18846,773,0,71,1,64819,37715,7696,46900,32317,60573,119,17054,41097,31303,4280,920,146,35240,18408,19845,3441,812,2
