,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,1,76725,0,29,76697,0,1237,2,0,0,0,0,0,0,401,165,56,1564,7287,0,0,0,10383,0,365,0,141,2,172,130,0,8193,436,0,7,0,7,0,0,60,0,9,6,0,0,0,0,0,52,0,0,59,0,191,75,30692,27149,18885,356,16,1,0,0,2,1,0,411,201,1581,1593,7461,0,1,0,10358,0,354,0,215,22,171,332,0,8119,7190,0,9,0,7,1,0,54,2,6,17,0,1,0,0,0,52,0,0,44,2,203,114,38986,21422,16318,57792,17663,1144,0,127,0,65218,36074,8987,43765,29708,63263,155,13308,41880,30651,3224,851,120,35058,21407,16846,2741,674,2
1,1,72266,0,23,72244,0,954,4,0,0,0,0,0,0,361,73,105,362,5486,0,0,0,9933,0,353,0,127,0,170,125,1,6953,541,0,4,0,13,0,0,73,0,8,234,0,0,0,0,0,22,0,1,50,1,83,60,25731,28664,17872,307,14,0,0,0,0,0,0,380,99,2119,426,5627,0,0,1,10414,1,349,0,182,50,167,327,1,6946,7302,0,5,0,13,0,0,77,0,6,3994,0,0,0,0,0,16,0,1,37,1,96,78,35299,22107,14861,56863,14415,849,0,140,0,56384,32089,6985,43298,26867,55988,141,16138,41367,26409,3472,913,106,35649,17851,15416,2676,674,1
2,25,68722,0,24,68723,0,995,0,0,0,0,0,0,0,345,115,64,303,8157,1,0,0,8860,0,343,0,122,2,127,159,0,5589,530,0,4,0,9,0,0,29,2,0,167,0,0,0,1,0,28,1,0,14,0,457,89,25906,26886,15955,356,12,0,0,0,2,1,0,355,209,1470,466,10101,0,0,0,8699,1,337,0,251,18,125,454,0,5635,7267,0,4,0,8,0,0,31,3,0,165,0,0,0,0,0,14,1,0,15,0,460,132,36280,19422,13045,46375,21339,877,0,156,0,57863,28486,6329,35317,23779,54190,129,14428,42091,24367,1762,447,80,34375,19284,13287,1417,384,1
3,17,81393,0,19,81391,0,1028,0,0,0,0,0,0,0,398,111,40,1551,7714,0,0,0,12189,0,347,0,136,1,149,139,0,8715,372,0,14,0,7,0,0,67,0,5,3,0,0,0,0,0,40,1,0,52,0,178,47,33079,27852,20479,343,13,0,0,0,0,1,0,431,144,831,1675,7852,0,1,0,12455,1,344,0,202,18,149,333,1,8889,7140,0,7,0,7,0,1,62,0,5,3,0,0,0,0,0,20,2,0,46,0,158,75,41348,22173,17889,61960,18388,941,0,121,0,70506,38775,9324,47072,32810,67045,160,14205,43767,32333,3909,1266,135,36510,22249,18495,3081,1075,2
4,1,99443,0,21,99423,0,1025,0,0,0,0,0,0,1,344,201,36,1457,11858,0,0,0,13932,0,645,0,107,2,190,178,0,9531,418,0,9,0,14,0,0,81,0,6,5,1,1,0,0,2,50,0,0,70,0,152,47,40115,34168,25161,259,14,0,0,2,2,1,1,360,321,1303,1574,12316,0,0,0,14256,0,588,0,156,15,211,418,0,9484,7156,0,8,0,15,0,0,83,43,6,3,1,2,0,0,3,58,0,0,47,2,154,187,49062,28030,22352,68125,30285,954,0,80,0,88133,47117,8899,55801,41209,79036,174,20234,52216,39011,6449,1593,175,41315,28593,22985,5317,1234,1
5,1,65824,0,22,65803,0,1012,0,0,0,0,0,0,0,326,56,28,453,7613,0,0,0,7576,0,374,0,154,13,145,114,0,6455,585,0,4,0,7,0,0,74,1,0,4,0,1,0,0,1,41,0,0,27,0,53,62,25090,24577,16158,373,24,0,0,0,1,1,0,336,88,881,439,8384,0,0,1,7490,1,363,0,203,48,137,293,43,6491,7266,0,4,0,8,0,1,70,1,0,4,0,0,0,0,0,37,0,0,26,1,58,103,33403,18846,13576,45585,19187,925,0,128,0,55440,28179,6247,34260,23234,54764,127,10933,39269,23930,2053,494,78,33449,16749,13444,1787,395,1
6,2,93423,0,25,93400,0,1080,0,0,0,0,0,0,4,371,86,73,470,8346,0,0,0,13053,0,593,0,151,5,211,140,1,12030,607,0,11,0,422,0,0,119,0,8,7,0,0,1,0,1,22,0,3,41,0,48,57,37870,29352,26203,338,14,0,0,0,1,0,4,375,129,1643,512,8584,0,0,0,13281,0,544,1,304,44,208,307,1,12153,7374,0,14,0,422,0,0,112,0,6,9,0,0,1,0,0,13,0,2,41,0,57,79,46821,23029,23575,72377,19948,1001,0,99,6,81861,49859,8943,57109,43759,76650,169,16606,45180,40318,6439,1354,134,38068,23619,25047,5537,1154,1
7,1,98567,0,27,98541,0,1054,0,0,0,0,0,0,1,436,553,43,1334,11337,0,0,0,12914,0,394,0,181,4,212,127,0,8976,449,0,4,0,8,0,0,52,0,2,701,2,0,0,0,1,72,0,0,70,1,361,99,38181,34073,26314,258,12,0,0,0,0,0,1,412,3464,1554,1358,11573,2,0,0,13261,1,376,0,284,12,206,329,0,9145,7202,0,6,0,8,1,0,52,3,0,696,2,1,0,0,0,67,0,0,61,2,361,163,50094,27588,20886,71256,26229,982,0,101,0,84201,45134,8101,56352,39421,81248,283,17037,54247,38911,4473,807,130,46137,27229,20806,3669,727,2
8,0,80289,0,21,80268,0,1574,0,0,0,0,0,0,0,71,163,23,2084,11744,0,0,0,8318,0,389,0,149,4,156,145,0,5894,405,0,4,0,7,0,0,92,0,0,7,0,0,0,0,1,393,0,1,29,0,154,135,31316,31251,17722,445,12,0,0,0,3,0,1,78,294,1242,2247,11873,1,1,1,8475,0,381,0,208,75,146,465,0,5946,7159,0,4,0,7,0,0,67,3,0,6,0,0,0,0,0,197,1,1,28,0,158,190,39723,25357,15209,48561,30125,1480,0,123,0,69458,29258,7972,38330,24687,63020,140,17129,50619,26188,2649,716,117,39659,24508,13919,1802,399,2
9,2,92940,0,29,92913,0,1301,0,0,0,0,0,0,0,418,877,89,425,9161,0,0,0,11245,0,416,0,174,17,379,108,0,8781,632,0,4,2,58,0,0,94,0,2,5,1,1,1,0,0,43,2,0,44,0,99,100,34333,36829,21780,396,12,0,0,0,2,0,0,391,926,1438,451,9436,0,0,1,11473,0,413,0,263,44,349,326,18,9017,7416,0,4,2,59,0,1,75,1,2,4,1,3,1,0,0,28,1,0,41,0,117,117,45723,27863,19356,64063,27551,1176,0,152,0,79232,39418,7576,48108,33636,75096,267,17579,55036,32698,3957,1055,196,42624,25810,20374,3280,854,2
