,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,0,73627,0,30,73597,0,1269,1,0,0,0,0,0,0,340,167,69,654,7444,0,0,0,10781,0,406,0,152,6,187,135,0,6585,430,0,6,0,3,0,0,35,4,16,6,0,0,0,1,0,29,1,0,35,1,413,112,28762,27169,17696,308,24,1,0,0,43,0,0,366,471,1536,1159,7629,0,0,0,10683,0,405,1,263,16,191,320,1,6558,7154,0,6,0,3,2,0,37,3,5,6,0,0,0,0,0,19,0,0,28,0,446,157,37947,20749,14931,53844,18474,1155,0,154,0,62250,34460,6069,41596,28290,60639,228,12760,40528,29474,2805,716,104,34093,21523,15154,2323,534,1
1,2,72288,0,33,72257,0,735,0,0,0,0,0,0,0,329,165,57,961,9179,0,0,0,9684,0,492,0,171,6,172,102,0,5668,487,0,7,0,10,0,0,64,1,0,4,1,2,0,0,0,33,0,0,30,0,377,38,28390,26043,17857,194,15,0,0,0,0,35,0,363,290,1747,1030,9446,0,1,1,10459,1,462,0,258,18,170,258,0,5962,7224,0,7,0,10,0,0,67,1,0,5,1,1,0,0,0,28,0,0,26,0,444,82,38439,18981,14870,50735,20799,690,0,66,0,61259,33151,6575,40760,28822,59088,140,13062,39767,28732,2894,819,78,33892,20060,15294,2415,629,1
2,1,91754,0,28,91727,0,1151,0,0,0,0,0,0,33,413,73,52,778,12504,0,0,0,10857,0,542,0,141,2,253,136,1,9328,588,0,5,0,8,3,0,95,0,10,5,1,0,0,0,1,13,1,1,57,0,31,94,37050,30855,23850,376,37,0,0,1,79,1,20,410,115,1349,816,12679,0,0,0,10908,1,517,0,194,59,246,337,1,9417,7376,0,5,0,9,42,1,93,0,5,5,1,0,1,0,0,6,0,1,63,0,62,154,45772,24164,21819,61669,28915,1040,0,131,0,79452,39715,7969,46488,32645,76289,191,15275,53993,31907,4463,1205,187,44274,22419,20558,3516,987,1
3,2,100980,0,24,100958,0,939,0,0,0,0,0,0,4,435,62,36,1212,15416,0,0,0,13095,0,613,0,121,4,365,141,0,9318,613,0,4,0,9,0,0,76,2,5,5,4,0,0,1,0,28,1,1,33,0,9,32,42573,31385,27024,247,12,1,0,0,56,1,4,445,83,1101,1244,15874,0,0,10,13482,0,562,1,174,18,328,407,0,8838,7350,0,4,0,10,0,0,76,1,5,7,2,0,0,0,0,45,0,1,28,0,14,75,50884,24604,25494,65848,34181,896,0,57,0,90348,45074,8233,52967,40397,83763,172,17047,55426,38814,5291,1239,212,45586,28405,21771,4143,1077,1
4,0,99272,0,28,99244,0,1135,1,0,0,0,0,0,2,358,227,48,2655,10713,0,0,0,12674,0,475,0,158,1,233,182,0,11374,669,0,6,0,5,0,0,73,0,11,7,0,0,0,0,0,381,3,3,64,1,133,78,41074,31709,26489,320,18,1,0,1,0,0,2,369,232,1425,2757,11008,0,0,0,13152,2,469,0,252,17,219,531,13,11676,7397,0,18,0,5,1,0,76,0,6,4,0,0,0,0,0,226,3,3,49,2,157,96,50446,25174,23652,73437,24668,1041,0,126,0,87479,47518,10736,55643,40216,80231,197,18844,53063,38332,6081,1609,187,43630,27103,22722,4649,1167,1
5,5,65433,0,34,65404,0,962,2,0,0,0,0,0,0,398,132,47,810,8164,0,0,0,8767,0,351,0,128,3,102,120,0,5512,414,0,5,0,5,0,0,44,0,7,2,1,0,0,0,0,75,1,0,19,0,425,53,26071,23645,15722,176,15,1,0,0,1,0,0,378,202,927,1121,8377,0,0,0,9124,0,349,0,191,13,146,379,0,5557,7106,0,11,0,5,0,0,40,0,5,2,0,0,0,0,0,47,0,0,16,0,473,159,34662,17836,12940,44979,19491,912,0,56,0,54966,29114,6185,37844,25240,52614,129,12695,35081,25931,3258,1050,118,29370,18345,14699,2349,675,1
6,1,87816,0,20,87797,0,1019,0,0,0,0,0,0,0,360,151,31,1861,11171,0,0,0,11802,0,321,0,150,1,135,166,0,8761,397,0,9,0,11,0,0,42,0,0,8,0,0,0,0,0,489,2,2,61,0,139,97,36477,28971,22369,380,17,0,0,0,0,1,0,386,189,762,1972,11424,0,0,2,11661,1,314,1,213,13,133,362,0,8818,7164,0,11,0,10,0,0,45,0,0,26,0,0,0,0,0,245,1,2,52,0,139,141,44343,23326,20148,61854,24916,914,0,133,1,76997,39649,9756,46484,32931,72247,146,15424,49805,32905,4032,924,151,41714,23783,18381,3196,743,2
7,2,85428,0,29,85401,0,1042,0,0,0,0,0,0,3,320,104,50,1081,10704,0,0,0,10219,0,501,0,159,2,277,135,0,9719,467,0,4,0,6,0,0,92,1,7,4,0,4,0,0,0,38,0,1,54,1,192,31,34967,28616,21847,297,21,0,0,0,0,0,3,334,172,1080,1159,11166,0,0,1,10924,0,452,0,211,13,307,291,0,9806,7204,0,7,0,6,0,0,169,2,7,29,0,3,0,0,0,51,0,1,40,0,198,68,44063,22520,18847,59904,24466,978,0,82,0,74169,40334,8150,47395,33994,69869,166,15395,45456,33962,4728,1127,157,38595,21811,20314,3827,883,1
8,2,95560,0,29,95533,0,1102,0,0,0,0,0,0,127,456,64,43,428,8974,0,0,0,15493,1,514,0,136,6,177,116,30,11493,543,0,4,0,9,0,0,83,0,10,12,2,0,0,0,1,419,0,1,71,0,13,83,39900,30419,25243,297,13,0,0,0,0,0,127,439,103,853,452,9200,0,0,3,15591,0,494,0,350,16,174,283,30,11530,7313,0,6,0,9,0,0,87,0,5,16,1,0,0,0,1,245,1,1,58,1,14,146,47819,24170,23573,73438,21004,1017,0,103,0,84823,49991,8573,57347,44548,79042,149,16371,46736,40488,6470,1665,203,38213,26122,24645,5224,1358,1
9,2,86435,0,38,86399,0,1055,1,0,0,0,0,0,2,328,139,34,927,10109,0,0,0,10325,0,570,0,111,4,223,147,0,8713,389,0,9,0,14,0,0,110,0,6,227,1,0,0,1,0,31,0,2,57,1,279,71,33301,30245,22891,332,31,0,0,0,35,1,2,326,213,1098,995,10656,0,0,0,10707,1,515,0,177,15,222,278,0,9133,7165,0,8,0,14,1,0,111,3,6,220,1,2,0,0,0,46,2,2,50,1,293,102,42578,24576,19283,59919,25449,945,0,124,0,74739,38470,8365,45080,30800,72237,188,14012,48529,32275,4357,1154,122,40714,22192,19143,3520,868,1
