,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,1,67522,0,13,67510,0,1243,0,0,0,0,0,0,0,321,61,119,580,7129,0,0,0,7528,0,378,0,127,27,132,155,0,6102,518,0,4,0,6,1,0,53,1,0,10,1,0,0,0,0,6,1,1,25,1,18,108,24553,25492,17478,286,12,0,0,0,1,0,0,333,78,4121,720,7422,0,0,0,7532,0,359,0,204,58,128,577,1,6186,7333,0,4,0,6,1,0,56,0,0,14,2,0,0,0,0,5,2,2,25,1,32,164,35961,17536,14026,48537,17719,1176,0,91,0,53290,27315,6815,38360,22748,52253,131,15139,40876,23946,2131,519,51,34334,17857,13569,1429,334,1
1,1,87258,0,24,87235,0,933,0,0,0,0,0,0,3,329,51,54,381,15911,0,0,0,7988,0,323,0,126,93,117,154,0,6490,583,0,4,2,4,0,0,86,2,0,5,1,0,0,0,0,34,0,0,20,0,37,101,33722,34568,18969,325,12,0,0,0,0,0,6,339,87,1621,331,20990,0,0,1,8167,14,318,0,256,117,118,332,0,6619,7273,0,5,2,4,0,0,85,5,0,4,1,0,0,0,0,17,0,0,21,1,32,134,47730,24270,15259,46086,40211,866,0,96,2,76126,28651,7607,36596,24883,74956,138,12165,59399,25333,2091,386,50,51651,18477,15144,1692,295,1
2,0,92175,0,20,92155,0,1014,0,0,0,0,0,0,14,312,210,36,1207,8150,0,0,0,12005,0,474,1,130,4,212,137,0,11169,349,0,5,0,7,0,0,51,1,7,3,0,1,0,0,0,315,1,0,44,0,215,102,35570,33121,23484,326,14,0,0,0,0,2,14,321,243,938,1295,8367,0,0,0,12421,0,435,1,183,16,216,326,0,11262,7157,0,10,0,10,1,1,57,12,7,3,0,1,0,0,0,188,2,0,53,0,213,121,44116,27140,20919,67496,23640,939,0,100,0,81265,45455,9128,52235,37455,73664,148,18363,48362,36690,5539,1359,225,36997,26913,22366,4782,1116,2
3,0,87677,0,19,87658,0,1081,0,0,0,0,0,0,5,353,91,42,983,8884,0,0,0,12084,0,449,0,131,5,264,146,0,10151,559,0,4,0,23,0,0,73,1,9,4,0,4,0,0,0,12,2,4,70,0,53,111,35412,30181,22084,322,21,0,0,0,0,1,5,356,123,1620,1058,9063,0,1,0,12317,1,431,0,195,18,252,302,14,10212,7319,0,4,0,27,0,0,59,0,5,4,1,4,0,1,0,10,1,4,47,0,69,141,44280,23812,19585,65425,21132,994,0,126,1,75580,43197,8594,49655,35008,72569,180,14928,46108,35554,4731,1159,125,39023,23067,20568,4096,922,1
4,9,69283,0,32,69260,0,1116,0,0,0,0,0,0,0,355,88,48,813,7944,0,0,0,8954,0,393,0,124,2,133,123,0,6411,496,0,6,0,4,0,0,24,0,6,2,0,0,4,0,0,37,1,0,35,0,582,59,27105,25620,16567,125,14,1,0,0,0,0,0,371,158,1808,1318,8284,0,1,0,9188,0,391,0,187,12,176,380,0,6481,7181,0,5,0,4,0,0,25,2,6,1,0,1,1,0,0,23,1,0,24,0,659,185,36790,19226,13276,48822,19342,1073,0,55,0,57713,31662,7583,40572,27000,55470,170,13652,36241,28825,3105,1011,110,30400,19100,16689,2420,683,1
5,5,103592,0,33,103564,0,1161,0,0,0,0,0,0,42,381,67,27,4193,11026,0,0,0,12900,0,688,0,158,9,173,141,0,10756,554,0,6,0,17,0,0,94,0,9,7,0,2,1,1,1,207,1,9,88,0,53,55,42490,33628,27479,265,18,0,0,0,1,0,18,397,86,553,4344,11314,0,0,0,13057,1,657,0,216,17,177,370,0,11078,7324,0,6,0,16,1,1,89,0,5,10,4,2,1,2,1,116,1,4,45,1,152,85,50569,28432,24596,75762,26646,1092,0,97,0,91619,50050,13023,61718,43961,84348,169,19080,53967,42423,5766,1292,149,41152,33336,23591,4555,963,1
6,0,70201,0,23,70178,0,998,1,1,0,0,0,0,0,312,161,55,432,6737,0,0,0,10797,1,343,0,133,3,194,152,0,6133,541,0,9,0,6,0,0,61,1,0,9,0,0,0,0,1,32,1,3,58,0,634,108,27166,26135,16900,377,12,3,0,0,33,0,0,327,168,1765,550,7069,0,0,0,10627,0,330,0,187,17,178,405,1,6145,7291,0,14,0,6,0,0,53,1,0,4,0,0,0,0,0,23,1,8,48,0,639,169,35978,19962,14261,51853,17321,919,0,108,0,58897,32837,5997,39593,26968,58742,162,11297,38984,28013,2480,613,111,33355,20053,14325,1958,510,5
7,14,60330,0,27,60317,0,1283,3,0,0,0,0,0,0,344,95,55,191,5549,0,0,0,8383,0,304,0,142,1,124,124,0,5411,558,0,4,0,4,0,0,61,1,0,3,0,0,1,0,0,4,0,0,20,1,84,119,22706,23227,14411,327,17,0,0,0,1,1,0,349,137,1700,236,5681,0,0,1,8513,4,294,0,221,16,124,485,0,5421,7321,0,4,0,4,0,2,59,1,0,1,0,2,0,0,0,2,0,0,21,0,78,165,31337,16693,12314,44743,14294,1189,0,118,0,49285,26915,6478,34611,22345,49437,144,10763,34398,23331,1876,677,62,28995,17411,12308,1220,410,1
8,1,94084,0,20,94065,0,940,2,0,0,0,0,0,0,360,83,61,9178,7074,0,0,0,11572,0,347,0,111,12,160,144,0,7664,577,0,4,0,4,0,0,83,0,6,5,0,0,0,1,0,28,0,1,44,1,80,75,38462,32129,23494,286,14,0,0,2,0,0,0,395,106,1906,9397,7186,0,0,0,11607,0,331,0,231,33,150,327,0,7915,7347,0,4,0,4,0,0,83,1,6,5,0,1,0,0,0,42,1,1,36,1,85,99,47818,25623,20644,75870,17243,863,0,109,0,81946,46412,16086,60872,39498,72250,154,21681,49101,40480,3470,934,100,35437,37967,17239,2726,716,2
9,0,83431,0,12,83419,0,841,0,0,0,0,0,0,9,330,53,43,804,10902,0,0,0,11237,0,342,0,135,90,137,154,0,7936,605,0,5,0,7,0,0,74,0,1,6,0,0,2,0,0,48,0,0,45,0,39,47,33809,28391,21231,210,12,2,0,0,0,0,9,345,85,962,828,11244,0,0,1,12261,1,328,1,256,97,151,283,0,8113,7294,0,7,0,8,0,0,78,1,3,5,0,0,0,0,0,25,0,0,37,0,74,107,43037,20584,19810,56457,26115,792,0,67,0,73077,38536,8103,45985,34385,65924,141,17366,45163,32275,4810,1069,114,36210,22902,19642,3865,812,2
